id	text
ParlaMint-UA_2016-07-14-m0.u1.p1.sent1	Шановні колеги, доброго ранку.
ParlaMint-UA_2016-07-14-m0.u1.p1.sent2	Доброго ранку!
ParlaMint-UA_2016-07-14-m0.u1.p1.sent3	10 година.
ParlaMint-UA_2016-07-14-m0.u1.p1.sent4	Заходимо в зал, займаємо робочі місця, готуємося до роботи.
ParlaMint-UA_2016-07-14-m0.u1.p1.sent5	Реєстрація відбудеться за одну хвилину.
ParlaMint-UA_2016-07-14-m0.u1.p1.sent6	Будь ласка, прошу заходити в зал і займати робочі місця.
ParlaMint-UA_2016-07-14-m0.u1.p1.sent7	Прошу приготуватись до реєстрації.
ParlaMint-UA_2016-07-14-m0.u1.p2.sent1	Квіти не мені, ні.
ParlaMint-UA_2016-07-14-m0.u1.p2.sent2	Це небезпечно в тому залі квіти дарувати, я казав про це.
ParlaMint-UA_2016-07-14-m0.u1.p3.sent1	Колеги, готові до реєстрації?
ParlaMint-UA_2016-07-14-m0.u1.p3.sent2	Шановні народні депутати, прошу зареєструватись.
ParlaMint-UA_2016-07-14-m0.u1.p3.sent3	Будь ласка, прошу провести реєстрацію.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent1	Зареєстровано 326 народних депутатів.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent2	Ранкове пленарне засідання Верховної Ради України оголошую відкритим.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent3	Колеги, сьогодні день народження у народних депутатів.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent4	Володимира Михайловича Кацуби.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent5	Сьогодні день народження в Альони Володимирівни Кошелєвої.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent6	Привітаємо нашу колегу.
ParlaMint-UA_2016-07-14-m0.u1.p4.sent7	Також Дмитра Володимировича Лінька.
ParlaMint-UA_2016-07-14-m0.u1.p5.sent1	Колеги, сьогодні порядок денний сформований так, як ми узгоджували на Погоджувальній раді, яка відбувалася в понеділок.
ParlaMint-UA_2016-07-14-m0.u1.p5.sent2	До обіду стоять два ключових системоутворюючих закони, це є 2966-д, проект Закону про Національну комісію, що здійснює державне регулювання у сферах енергетики та комунальних послуг.
ParlaMint-UA_2016-07-14-m0.u1.p5.sent3	Майже всі фракції піднімали це питання.
ParlaMint-UA_2016-07-14-m0.u1.p5.sent4	Колеги, ми маємо шанс прийняти його сьогодні також, як і інший Закон про ринок природного газу.
ParlaMint-UA_2016-07-14-m0.u1.p5.sent5	Вони стоять до обіду, це два важливих ключових закони.
ParlaMint-UA_2016-07-14-m0.u1.p5.sent6	О, навіть плакат є, якій підтверджує це.
ParlaMint-UA_2016-07-14-m0.u1.p6.sent1	Отже, сьогодні маємо шанс.
ParlaMint-UA_2016-07-14-m0.u1.p6.sent2	По моїй інформації є узгодження по даному питанню в залі, ми маємо шанс його прийняти.
ParlaMint-UA_2016-07-14-m0.u1.p6.sent3	Після обіду питання децентралізації, питання підтримки місцевого самоврядування.
ParlaMint-UA_2016-07-14-m0.u1.p6.sent4	Так, як ми домовлялися на Погоджувальній раді, так і сформований порядок денний.
ParlaMint-UA_2016-07-14-m0.u1.p6.sent5	Якщо ми будемо працювати системно і якісно, колеги, ми маємо шанс сьогодні прийняти цілий ряд надважливих законів.
ParlaMint-UA_2016-07-14-m0.u1.p6.sent6	І тому я хочу закликати усіх депутатів, усіх колег активно і дієво сьогодні працювати, відкинути політичні протистояння, сконсолідуватися і продемонструвати, що український парламент не тільки може, а здатен приймати важливі рішення.
ParlaMint-UA_2016-07-14-m0.u1.p7.sent1	Отже, колеги і я попрошу вас з самого початку, з першого ж питання, у нас стоять перші соціальні питання, щоб ми почали, колеги, зі скороченої процедури.
ParlaMint-UA_2016-07-14-m0.u1.p7.sent2	Вони не є надто складні, щоб ми дали гарну динаміку і гарний темп.
ParlaMint-UA_2016-07-14-m0.u1.p7.sent3	Я попрошу підтримати пропозицію скороченої процедури, якщо буде ваша воля і якщо буде ваша підтримка.
ParlaMint-UA_2016-07-14-m0.u1.p8.sent1	І я оголошую перший проект закону, який на сьогодні стоїть в порядку денному.
ParlaMint-UA_2016-07-14-m0.u1.p8.sent2	Це є проект Закону про внесення змін до Закону України "Про державну соціальну допомогу малозабезпеченим сім’ям" щодо соціального захисту членів сімей учасників АТО (3339).
ParlaMint-UA_2016-07-14-m0.u1.p9.sent1	І, колеги, є пропозиція, щоб ми його розглянули за скороченою процедурою.
ParlaMint-UA_2016-07-14-m0.u1.p9.sent2	І я звернусь до колег, і я прошу колег підтримати пропозицію розгляду даного законопроекту 3339 за скороченою процедурою, колеги.
