id	text	language
ParlaMint-UA_2005-11-17-m1.u1.p1.sent1	Шановні колеги, прошу підготуватися до реєстрації.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u1.p1.sent2	Ввімкніть, будь ласка, систему „Рада”.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u1.p1.sent3	Реєструємось.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u1.p2.sent1	В залі зареєстровано 409 народних депутатів.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u1.p2.sent2	Вечірнє засідання Верховної Ради оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u1.p3.sent1	Ми зупинилися з вами на законопроекті 5315 про внесення змін до Закону України "Про боротьбу з корупцією" .	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u1.p3.sent2	Будь ласка, Володимир Стретович.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p1.sent1	Шановний пане голово, шановні колеги, на виконання постанови Верховної Ради України від 21 грудня минулого року комітетом доопрацьовано до другого читання проект Закону України про внесення доповнення до Закону України "Про боротьбу з корупцією" щодо визначення суб’єктами корупційних діянь та інших правопорушень, пов’язаних з корупцією керівників та інших посадових осіб державних, підкреслюю, державних підприємств, установ та організацій, внесене народним депутатом України Морозом.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p2.sent1	Даним законопроектом пропонується закріпити на законодавчому рівні суб’єктами корупційних діянь та інших правопорушень, пов’язаних з корупцією керівників та інших посадових осіб державних підприємств, установ, організацій, що сприятиме підвищенню як персональної відповідальності керівника за прийняття або неприйняття та реалізацію управлінських рішень, так і відповідальність за неправомірні службові правопорушення своїх підлеглих.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p3.sent1	При доопрацюванні законопроекту була розглянута пропозиція народного депутата України Кармазіна щодо незгоди з доповненням закону пунктом г), яка відхилена, оскільки це має концептуальний характер і була предметом обговорення і розгляду закону при першому читанні.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p3.sent2	До речі, Юрій Анатолійович під час обговорення законопроекту дотримувався протилежної точки зору і висловився за підтримку законопроекту.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p4.sent1	Розглянувши підготовлений до другого читання законопроект, комітет вважає за можливе внести його на розгляд у другому читанні та рекомендує Верховній Раді України прийняти його в другому читанні і в цілому як закон.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p5.sent1	Це була думка комітету.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p5.sent2	Я хочу висловити свою особисту думку.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p5.sent3	Я якраз вважаю, що таке доповнення недоречне до згаданого закону, оскільки керівники державних підприємств, якщо вони є державними службовцями та повинні відповідати як державні службовці, а як керівники підприємств вони не є носіями влади і вони не можуть бути суб’єктами корупційних діянь.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p5.sent4	Вони є керівника господарюючих суб’єктів.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p6.sent1	Тому ось склалася така колізія.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p6.sent2	Доводжу до відома Верховної Ради, що комітет підтримав.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p6.sent3	Я висловлюю свою позицію: що це робити недоцільно.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u2.p7.sent1	Дякую.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p1.sent1	Юрій Кармазін, поправка.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p1.sent2	І наполягає Юрій Анатолійович.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p1.sent3	Мікрофон.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p1.sent4	Да, Юрій Анатолійович?	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p1.sent5	Ні, Юрій Анатолійович знімає.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p2.sent1	Шановні колеги, тому прошу змобілізуватися для голосування.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p2.sent2	Запросіть народних депутатів до сесійної зали.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p3.sent1	Шановні колеги, прошу уваги!	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p3.sent2	Вноситься на голосування пропозиція комітету: про прийняття в другому читанні і в цілому як закон проект Закону про внесення змін до Закону України „Про боротьбу з корупцією” .	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p3.sent3	Реєстраційний номер 5315.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p3.sent4	Прошу голосувати.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p4.sent1	За-203	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p5.sent1	Рішення не прийнято.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p6.sent1	По фракціях, будь ласка.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p7.sent1	Фракція комуністів – 51, «Регіони України» - 1, Народна партія – 24, „Наша Україна» - 3 Блок Тимошенко - 5, СПУ – 24, Українська народна Партія – 20, СДПУ(о) – 11, Народний Блок – 19, „Довіра народу” – 7, „Реформи і порядок” – 9, „Єдина Україна” – 9, Народний Рух України – 0, Партія промисловців і підприємців України – 4 і позафракційні – 11.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p8.sent1	Хто за те, щоб направити на повторне друге читання проект закону, реєстраційний номер – 5311.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u3.p8.sent2	Прошу визначатись.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u4.p1.sent1	5315.	UNKNOWN
ParlaMint-UA_2005-11-17-m1.u5.p1.sent1	А? 5315.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u5.p1.sent2	Вибачте, вибачте.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u5.p1.sent3	5315.	UNKNOWN
ParlaMint-UA_2005-11-17-m1.u6.p1.sent1	Голосуємо.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u7.p1.sent1	Ну, так може.	UNKNOWN
ParlaMint-UA_2005-11-17-m1.u7.p2.sent1	За – 269.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u7.p3.sent1	Рішення прийнято.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u8.p1.sent1	Дякую.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u9.p1.sent1	Так.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u9.p1.sent2	Будь ласка, оголошується до розгляду Проект Закону про внесення змін до Закону України "Про боротьбу з корупцією" .	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u9.p1.sent3	Реєстраційний номер – 5315-1.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u9.p1.sent4	Доповідач Володимир Миколайович Стретович – голова комітету.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p1.sent1	Дякую, Володимире Михайловичу.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p1.sent2	Цей законопроект внесений народним депутатом Косовим і постановою згаданою 21 грудня 2004 року Верховна Рада доручила комітету допрацювати його і внести на друге читання.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p2.sent1	Цим законопроектом пропонується включити до кола суб’єктів корупційних діянь Прем’єр-міністра України, Першого віце-прем’єр-міністра, віце-прем’єр-міністрів, міністрів Кабінету Міністрів України та військових посадових осіб	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p3.sent1	Збройних сил та інших військових формувань.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p4.sent1	При доопрацюванні законопроекту були розглянуті пропозиції народних депутатів України: Стретовича, Кармазіна та Оніщука.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p4.sent2	Пропозиція народного депутата України Оніщука по технічних причинах не відображена в таблиці, але по змісту вона аналогічна пропозиції, яку висловив я і вона врахована.	UKRAINIAN
ParlaMint-UA_2005-11-17-m1.u10.p5.sent1	Пропозиції народного депутата Кармазіна враховані частково.	UKRAINIAN
