id	text
ParlaMint-UA_2019-11-14-m1.u1.p1.sent1	Шановні колеги, добрий вечір ще раз.
ParlaMint-UA_2019-11-14-m1.u1.p1.sent2	Прошу підготуватись до реєстрації.
ParlaMint-UA_2019-11-14-m1.u1.p2.sent1	Шановні колеги, прошу підготуватися до реєстрації, за хвилину розпочинаємо реєстрацію.
ParlaMint-UA_2019-11-14-m1.u1.p3.sent1	А є в залі Герус?
ParlaMint-UA_2019-11-14-m1.u1.p3.sent2	Підійдіть, будь ласка.
ParlaMint-UA_2019-11-14-m1.u1.p4.sent1	Шановні колеги, готові реєструватися?
ParlaMint-UA_2019-11-14-m1.u1.p4.sent2	Прошу реєструватися.
ParlaMint-UA_2019-11-14-m1.u1.p5.sent1	В залі зареєстровано 302 народних депутати України.
ParlaMint-UA_2019-11-14-m1.u1.p6.sent1	Покажіть, будь ласка, по фракціях.
ParlaMint-UA_2019-11-14-m1.u1.p6.sent2	"Слуга народу" – 205, "Опозиційна платформа - За життя" – 24, "Європейська солідарність" – 18, "Батьківщина" – 12, "За майбутнє" – 10, "Голос" – 15, позафракційні – 18.
ParlaMint-UA_2019-11-14-m1.u1.p7.sent1	Вечірнє засідання Верховної Ради України оголошую відкритим.
ParlaMint-UA_2019-11-14-m1.u1.p8.sent1	Для стенограми.
ParlaMint-UA_2019-11-14-m1.u1.p8.sent2	Хочу звернути вашу увагу, що законопроект за номером 2000 про Державний бюджет на 2020 рік прийнято у другому читанні та в цілому як закон з урахуванням висновків Комітету з питань бюджету та озвучених міністром фінансів правок.
ParlaMint-UA_2019-11-14-m1.u1.p9.sent1	Переходимо до розгляду питань порядку денного.
ParlaMint-UA_2019-11-14-m1.u1.p9.sent2	Шановні колеги, вам запропонований до розгляду проект Закону про внесення змін до статті 4 Закону України "Про використання земель оборони" щодо.
ParlaMint-UA_2019-11-14-m1.u1.p9.sent3	Вибачте.
ParlaMint-UA_2019-11-14-m1.u1.p9.sent4	Вибачте.
ParlaMint-UA_2019-11-14-m1.u1.p10.sent1	Шановні колеги, надійшла заява від двох фракцій щодо перерви з заміною на виступ.
ParlaMint-UA_2019-11-14-m1.u1.p10.sent2	Іонова Марія Миколаївна.
ParlaMint-UA_2019-11-14-m1.u2.p1.sent1	Шановний головуючий!
ParlaMint-UA_2019-11-14-m1.u2.p1.sent2	Шановні колеги!
ParlaMint-UA_2019-11-14-m1.u2.p1.sent3	Ми вкотре звертаємося до фракції більшості і наполегливо висловлюємо те, що кожна.
ParlaMint-UA_2019-11-14-m1.u2.p1.sent4	є такий вислів, що кожна людина, обрана народом, вона, коли починає думати, що вона обрана Богом, починаються нелегкі часи.
ParlaMint-UA_2019-11-14-m1.u2.p1.sent5	На жаль, у нас в Комітеті зовнішньої політики та міжпарламентського співробітництва зараз такі нелегкі часи.
ParlaMint-UA_2019-11-14-m1.u2.p2.sent1	Після нещодавнього ганебного скандалу голова комітету Богдан Яременко, ми, скажемо так, складно нам було уявити, що він як колишній дипломат продовжить очолювати цей комітет і бути частиною зовнішньої політики найвищого законодавчого органу України на міжнародній арені.
ParlaMint-UA_2019-11-14-m1.u2.p2.sent2	На вимогу фракції "Європейська солідарність", "Голос", "Батьківщина", "Опозиційний блок" після заяв про звільнення пан Яременко вчора знову головував на комітеті і, чесно кажучи, він продовжував головувати на комітеті, вести себе і розмовляти з депутатами в дуже хамській манері.
ParlaMint-UA_2019-11-14-m1.u2.p3.sent1	Вимагаємо, щоб його або тимчасово замінив на посаді перший заступник, це пан Немиря, або фракція більшості обрала нового голову комітету.
ParlaMint-UA_2019-11-14-m1.u2.p4.sent1	Зовнішня політика не може чекати, поки у цій залі нарозважаються.
ParlaMint-UA_2019-11-14-m1.u2.p4.sent2	Це той фронт, де ми щосекундно, щосекундно маємо боротися, тому що, наприклад, досі не є зрозумілою позиція України у відносинах з Парламентською асамблеєю Ради Європи.
ParlaMint-UA_2019-11-14-m1.u2.p4.sent3	Досі ми не розуміємо по координації дій щодо протидії "Північному потоку-2".
ParlaMint-UA_2019-11-14-m1.u2.p4.sent4	Ми чуємо вже заяви по виходу з Мінську.
ParlaMint-UA_2019-11-14-m1.u2.p4.sent5	Президент вперто шукає зустрічі з агресором замість того, щоб посилювати координацію з міжнародними лідерами.
ParlaMint-UA_2019-11-14-m1.u2.p5.sent1	Нещодавня перемога, наприклад, України в суді ООН за позовом проти Росії – взагалі жодної реакції від Президента, від Офісу Президента.
ParlaMint-UA_2019-11-14-m1.u2.p5.sent2	Тому очевидно, що зовнішня політика, вона слабшає, і Путін це теж, безсумнівно, як відчуває, так і використовує.
ParlaMint-UA_2019-11-14-m1.u2.p6.sent1	Так не може бути.
ParlaMint-UA_2019-11-14-m1.u2.p6.sent2	Ми вимагаємо, всі чотири фракції, обрати нового голову комітету, який знаходитиме можливості для зустрічі з нашими міжнародними партнерами, щоб єднатися проти агресора, а не гратися чи читати мораль журналістам.
ParlaMint-UA_2019-11-14-m1.u2.p7.sent1	Дякую.
ParlaMint-UA_2019-11-14-m1.u3.p1.sent1	Дякую.
ParlaMint-UA_2019-11-14-m1.u3.p2.sent1	Шановні колеги, ми зараз перейдемо до питання кошторису Верховної Ради України, однак я хотів би зазначити, 20 листопада світ відзначає 30-річчя прийняття Конвенції ООН з прав дитини.
ParlaMint-UA_2019-11-14-m1.u3.p2.sent2	Щорічно у цей день діти у восьми світах виконують певну роль у сфері політики, бізнесу, засобів масової інформації, спорту, інших областях, якими зазвичай керують дорослі.
ParlaMint-UA_2019-11-14-m1.u3.p3.sent1	Але діти – це наше майбутнє, фактично.
ParlaMint-UA_2019-11-14-m1.u3.p3.sent2	І є пропозиція, щоб до Верховної Ради України, до нас зараз звернулись представники ЮНІСЕФ України з пропозицією приєднатись парламенту України до цієї глобальної ініціативи ЮНІСЕФ та запросити дітей до залу Верховної Ради України та надати їм змогу виступити з трибуни парламенту 15 листопада.
ParlaMint-UA_2019-11-14-m1.u3.p3.sent3	Це буде десь 5 хвилин виступу.
ParlaMint-UA_2019-11-14-m1.u3.p4.sent1	Профільний Комітет з питань гуманітарної та інформаційної політики звернувся до мене з листом щодо підтримки зазначеної ініціативи.
ParlaMint-UA_2019-11-14-m1.u3.p4.sent2	Тому, якщо немає заперечень, відповідно до статті 6 та 34 Регламенту Верховної Ради України ставлю на голосування пропозицію щодо запрошення дітей у рамках ініціативи ЮНІСЕФ до зали засідань Верховної Ради України та пропоную надати їм змогу виступити з трибуни парламенту 15 листопада.
ParlaMint-UA_2019-11-14-m1.u3.p4.sent3	Для цього повинно бути рішення парламенту.
ParlaMint-UA_2019-11-14-m1.u3.p5.sent1	Шановні колеги, підготуйтесь до голосування.
ParlaMint-UA_2019-11-14-m1.u3.p5.sent2	Прошу підтримати та проголосувати.
ParlaMint-UA_2019-11-14-m1.u3.p6.sent1	За-315
ParlaMint-UA_2019-11-14-m1.u3.p7.sent1	Рішення прийнято.
ParlaMint-UA_2019-11-14-m1.u3.p7.sent2	Один – утримався.
ParlaMint-UA_2019-11-14-m1.u3.p8.sent1	Покажіть, будь ласка, по фракціям.
ParlaMint-UA_2019-11-14-m1.u3.p8.sent2	"Слуга народу" – 212, "Опозиційна платформа - За життя" – 24, "Європейська солідарність" – 16, "Батьківщина" – 15, "За майбутнє" – 12, "Голос" – 17, позафракційні – 19.
ParlaMint-UA_2019-11-14-m1.u3.p8.sent3	Дякую.
ParlaMint-UA_2019-11-14-m1.u3.p9.sent1	Шановні колеги, відповідно до пункту 35 статті 85 Конституції України щодо повноважень Верховної Ради України належить затвердити кошторис Верховної Ради України.
ParlaMint-UA_2019-11-14-m1.u3.p9.sent2	Згідно зі статтею 7 Регламенту Верховної Ради України кошторис Верховної Ради України затверджується Верховною Радою під час прийняття проекту закону про Державний бюджет України.
ParlaMint-UA_2019-11-14-m1.u3.p9.sent3	я вибачаюсь.
ParlaMint-UA_2019-11-14-m1.u3.p9.sent4	на наступний рік у другому читанні.
ParlaMint-UA_2019-11-14-m1.u3.p10.sent1	Чи необхідно його розглядати, щоб доповідав голова комітету?
ParlaMint-UA_2019-11-14-m1.u3.p10.sent2	Чи можемо перейти одразу до голосування?
ParlaMint-UA_2019-11-14-m1.u3.p10.sent3	Можемо переходити до голосування?
ParlaMint-UA_2019-11-14-m1.u3.p11.sent1	З огляду на вищезазначене ставлю на голосування проект Постанови (реєстраційний номер 2433) про кошторис Верховної Ради України на 2020 рік для прийняття в цілому.
ParlaMint-UA_2019-11-14-m1.u3.p11.sent2	Прошу підготуватись.
ParlaMint-UA_2019-11-14-m1.u3.p12.sent1	Да, Олесь Станіславович.
ParlaMint-UA_2019-11-14-m1.u3.p12.sent2	Почекайте.
ParlaMint-UA_2019-11-14-m1.u3.p12.sent3	Будете доповідати?
ParlaMint-UA_2019-11-14-m1.u3.p12.sent4	Голова комітету буде доповідати.
ParlaMint-UA_2019-11-14-m1.u3.p12.sent5	Я даю слово голові комітету Кальченку Сергію Віталійовичу.
ParlaMint-UA_2019-11-14-m1.u3.p12.sent6	Включіть, будь ласка, мікрофон.
ParlaMint-UA_2019-11-14-m1.u4.p1.sent1	Шановна президія, шановні народні депутати!
ParlaMint-UA_2019-11-14-m1.u4.p1.sent2	Вчора регламентний комітет розглянув проект кошторису Верховної Ради, прийняв рішення внести на розгляд парламенту проект цього кошторису.
ParlaMint-UA_2019-11-14-m1.u4.p1.sent3	Я привертаю вашу увагу на те, що на ранковому засіданні парламенту було прийнято Закон про Державний бюджет на 2020 рік в другому читанні та в цілому в редакції, запропонованій комітетом, засідання якого відбувалося вчора одночасно із засіданням регламентного комітету.
ParlaMint-UA_2019-11-14-m1.u4.p1.sent4	І згідно з прийнятим законом додатково передбачені видатки у сумі 29 мільйонів 930 тисяч гривень за бюджетною програмою "Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети "Голос України".
