id	text	language
ParlaMint-UA_2015-03-18-m0.u1.p1.sent1	Доброго ранку, шановні колеги народні депутати!	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p1.sent2	Ми розпочинаємо наше пленарне засідання.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p2.sent1	Хочу вас проінформувати вас про те, що маємо сьогодні розглянути важливих питань.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p2.sent2	Оскільки порядок денний, який був визначений на вівторок, не був розглянутий, відповідно маємо сьогодні розглянути відповідно до Регламенту питання, які були зазначені на вчора, а також розглянути порядок денний, який був запланований згідно розкладу за результатами Погоджувальної ради на середу.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p3.sent1	Шановні колеги народні депутати, є ряд питань, які ми маємо з вами включити в порядок денний сесії, для того щоб направити їх в комітети для опрацювання, і на цьому тижні важливі законопроекти розглянути відповідно до Регламенту Верховної Ради України.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p3.sent2	А саме, ми маємо вирішити питання здешевлення ліків, щоб один раз і назавжди побороти ту тендерну проблему, яка призводить до нескінченних посередників, зростання необ’єктивних цін.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p3.sent3	І такий законопроект внесено, який був напрацьований депутатами Верховної Ради.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p3.sent4	І ми маємо його включити в порядок денний і розглянути.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p4.sent1	Також буде ряд законопроектів, які стосуються армії, розвідки, все те, що підвищує боєздатність Збройних Сил України.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p5.sent1	Хочу зазначити, що у нас є 2 з вами борги, борги, які ми не, поки що не підписали 2 закони, я не підписав 2 закони, один 1317, який має заборонити пропаганду країни-агресора у різноманітних фільмах і серіалах, і це є принципово важливим.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p5.sent2	Ви знаєте, що відповідно до Регламенту була подана скарга, яку ми маємо сьогодні розглянути з вами і після того відкривається шлях для підписання цього законопроекту і припинення будь-якої пропаганди країни-агресора, військових сил, інших підрозділів силових і так далі.	UKRAINIAN
ParlaMint-UA_2015-03-18-m0.u1.p6.sent1	Ще одне питання – це питання дерегуляції.	UKRAINIAN
