id	text	language
ParlaMint-UA_2018-02-07-m0.u1.p1.sent1	Доброго ранку, шановні колеги!	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p1.sent2	Прошу заходити в зал і приготуватись до реєстрації.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p1.sent3	Прошу приготуватись до реєстрації.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p1.sent4	Всі готові?	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p2.sent1	Шановні колеги, прошу зареєструватись.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p3.sent1	Зареєстровано 347 народних депутатів.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p3.sent2	Ранкове пленарне засідання Верховної Ради України оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p4.sent1	Сьогодні день народження наших колег.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p4.sent2	День народження Ірини Степанівни Луценко.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p4.sent3	Привітаємо пані Ірину – Представника Президента України у Верховній Раді.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p4.sent4	І Юрія Олександровича Буглака привітаємо, нашого колегу, з днем народження.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent1	У нас сьогодні ще один день народження, колеги.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent2	7 лютого 1992 року міністри закордонних справ, економіки та фінансів країн Західної Європи підписали Договір про Європейський Союз.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent3	І це фактично сьогодні день народження Європейського Союзу.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent4	Давайте привітаємо наших європейських друзів з тим святом, адже наша мета, мета України – це повноправне членство України в Європейському Союзі.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent5	І український парламент має робити все для того, щоб чим швидше ця ціль була здійснена і парламентом, і урядом.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent6	Напрацьована дорожня карта пріоритетних законопроектів у сфері євроінтеграції, які ми повинні реалізовувати, ми вчора прийняли два важливих закони для євроінтеграції, і, я впевнений, з такою ж динамікою ми будемо йти і далі, і це буде одним з пріоритетів нашої роботи цієї сесії, як і в цілому нашої каденції.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p5.sent7	Україна повертається до родини європейських народів, де кожен українець житиме вільно і гідно.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p6.sent1	І сьогодні у нас на порядку денному будуть стоять важливі ратифікації, як завжди у середу.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p6.sent2	Я сподіваюсь на плідну і активну роботу залу.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p6.sent3	Зараз згідно Регламенту 30 хвилин для виступів від народних депутатів, наголошую, не від фракцій, а від народних депутатів.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p6.sent4	І я прошу всіх, хто хоче виступити, хто хоче зробити заяву, приготуватись до запису виступів від народних депутатів.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p6.sent5	Прошу провести запис.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p6.sent6	Будь ласка.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p7.sent1	Від Радикальної партії, від депутатів, Рибалка передає Віктору Галасюку.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p7.sent2	Я запрошую до трибуни Віктора Галасюка.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u1.p7.sent3	Будь ласка, пане Вікторе.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p1.sent1	Віктор Галасюк, фракція Радикальної партії.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p1.sent2	Шановний Андрію Володимировичу, шановні колеги, сьогодні зусилля всіх гілок влади і українського парламенту передусім мають бути налаштовані на єдині цілі – це цілі створення робочих місць, це ціль підвищення реального рівня добробуту громадян, це збільшення податкових надходжень до бюджету з розвитку, а не з закордонних кредитів і позичок, це високотехнологічний експорт.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p1.sent3	Це все те, що дозволить зробити країну міцнішою економічно, бо в світі рахуються лише з сильними країнами.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p1.sent4	Лише сильна країна здатна забезпечити перспективу для власних громадян.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p2.sent1	Для того, щоб це зробити, потрібно, по-перше, радикально змінити економічну політику.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p2.sent2	Не просто розглядати якісь економічні закони, які насправді дуже мало змінюють, а приймати саме головні закони, які запустять українську економіку і збільшать зростання ВВП з 2-3 відсотків до 7, 8, 9 і більше відсотків на рік.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p2.sent3	Це індустріальні парки, це податкові стимули потужні для того, щоб залучати в Україну інвестиції, це експортно-кредитне агентство.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p2.sent4	Щойно я мав розмову з Першим віце-прем’єром Степаном Івановичем Кубівим.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p2.sent5	Сьогодні уряд, нарешті, планує затвердити статутні документи експортно-кредитного агентства.	UKRAINIAN
ParlaMint-UA_2018-02-07-m0.u2.p2.sent6	Це означає в близькій перспективі здешевлення кредитів для українських виробників в рази.	UKRAINIAN
