id	text	language
ParlaMint-UA_2018-11-20-m1.u1.p1.sent1	Шановні колеги, прошу заходити в зал, приготуватися до реєстрації.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p2.sent1	Колеги, поки депутати заходять в зал, я прошу підійти до мене авторів постанов: Горбунова, Денисенка і Федорука.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p2.sent2	Підійдіть, будь ласка, до мене, пане Федорук.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p3.sent1	І я прошу, запрошуйте депутатів в зал.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p4.sent1	Отже, колеги, прошу приготуватись до реєстрації.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p4.sent2	І прошу зареєструватись.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p5.sent1	358 – за. зареєстрованих, зареєстрованих.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p5.sent2	Вечірнє засідання Верховної Ради України оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p6.sent1	Отже, колеги, як я і повідомляв, як і є в порядку денному, в нас стоїть три питання декомунізації.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p6.sent2	Одне питання – це є Постанова про перейменування Кіровоградського району Кіровоградської області в Кропивницький район.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p6.sent3	Наступне – це проект Закону про внесення змін до статті 133 Конституції України (щодо перейменування Кіровоградської області).	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p7.sent1	І наступне.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p7.sent2	Такий самий проект Закону про внесення змін до статті 133 про перейменування Дніпропетровської області.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p8.sent1	Послідовність буде наступна.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p8.sent2	Спочатку ми розглянемо постанову про район, а потім обидві області.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p8.sent3	По часу ми входимо.	RUSSIAN
ParlaMint-UA_2018-11-20-m1.u1.p8.sent4	Для того, колеги, щоб всі могли зібратись і проголосувати декомунізацію.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p8.sent5	Тому, колеги, я знаю, що є засідання певних комітетів.	UKRAINIAN
ParlaMint-UA_2018-11-20-m1.u1.p8.sent6	Я прошу голів фракцій всіх запросити депутатів в зал для участі у вечірньому засіданні.	UKRAINIAN
