id	text
ParlaMint-UA_2014-02-25-m0.u1.p1.sent1	Доброго ранку, шановні народні депутати!
ParlaMint-UA_2014-02-25-m0.u1.p1.sent2	Прошу сідати, починаємо роботу Верховної Ради.
ParlaMint-UA_2014-02-25-m0.u1.p2.sent1	Прошу підготуватися до реєстрації і включити систему "Рада".
ParlaMint-UA_2014-02-25-m0.u1.p3.sent1	Зареєструвалось 298 народних депутатів.
ParlaMint-UA_2014-02-25-m0.u1.p3.sent2	Верховна Рада розпочинає свою роботу.
ParlaMint-UA_2014-02-25-m0.u1.p4.sent1	Шановні народні депутати, за традицією я хочу привітати з днем народження наших народних депутатів.
ParlaMint-UA_2014-02-25-m0.u1.p4.sent2	У Борити Ольги Василівни день народження сьогодні.
ParlaMint-UA_2014-02-25-m0.u1.p4.sent3	У Кутового Тараса Вікторовича.
ParlaMint-UA_2014-02-25-m0.u1.p4.sent4	У Ничипоренка Валентина Миколайовича і Швайки Ігоря Олександровича.
ParlaMint-UA_2014-02-25-m0.u1.p5.sent1	Шановні народні депутати, давайте порадимось.
ParlaMint-UA_2014-02-25-m0.u1.p5.sent2	Хоч у нас і безперервна робота, але сьогодні вівторок і традиційно виступають керівники фракцій і депутатських груп.
ParlaMint-UA_2014-02-25-m0.u1.p5.sent3	Є необхідність сьогодні провести такі виступи?
ParlaMint-UA_2014-02-25-m0.u1.p5.sent4	Є необхідність.
ParlaMint-UA_2014-02-25-m0.u1.p5.sent5	Тоді я прошу записатись на виступи.
ParlaMint-UA_2014-02-25-m0.u1.p6.sent1	Шановні колеги, перед тим, як керівники фракцій і депутатських груп почнуть виступати, я би просив звернути у виступах увагу на пріоритет діяльності нашої Верховної Ради, а саме, формування більшості і коаліційного уряду народної довіри.
ParlaMint-UA_2014-02-25-m0.u1.p6.sent2	Це той пріоритет, який ми зобов’язані виконати на цьому тижні.
ParlaMint-UA_2014-02-25-m0.u1.p6.sent3	Без цього нормалізація роботи виконавчої влади неможлива, колеги.
ParlaMint-UA_2014-02-25-m0.u1.p7.sent1	Окрім того, я би просив у ваших виступах також внести пропозиції щодо зміни порядку денного засідання Верховної Ради, зокрема вчора були пропозиції, я би хотів відчути готовність і регіонів, і вашу політичну волю щодо все ж таки включення додатково до сьогоднішнього порядку денного проведення позачергових виборів як в місті Києві, так в інших містах, селах, селищах України.
ParlaMint-UA_2014-02-25-m0.u1.p7.sent2	Також прошу акцентувати на цьому увагу, щоб ми тоді включили це до порядку денного.
ParlaMint-UA_2014-02-25-m0.u1.p8.sent1	Слово надається від фракції Всеукраїнського об’єднання "Свобода" Тягнибоку Олегу Ярославовичу.
ParlaMint-UA_2014-02-25-m0.u2.p1.sent1	Доброго ранку!
ParlaMint-UA_2014-02-25-m0.u2.p1.sent2	Олег Тягнибок, фракція Всеукраїнського об’єднання "Свобода".
ParlaMint-UA_2014-02-25-m0.u2.p1.sent3	Шановне товариство, сьогодні як ніколи на найвищому законодавчому органі нашої держави лежить величезна відповідальність за подальшу роботу не тільки нашого органу, але і подальшу роботу, і діяльність, існування української держави.
ParlaMint-UA_2014-02-25-m0.u2.p2.sent1	В першу чергу ми маємо дуже негативні сигнали стосовно того, що Російська Федерація певним чином зацікавлена, будучи, в розвалі територіальної цілісності України, зараз починає застосовувати кроки з цього приводу.
ParlaMint-UA_2014-02-25-m0.u2.p2.sent2	Саме через те ми вважаємо, що було би дуже доцільно сьогодні заслухати відповідних силовиків, виконуючого обов’язки міністра оборони з питань передислокації частини російських військ на територію України.
ParlaMint-UA_2014-02-25-m0.u2.p3.sent1	Чуток ходить багато стосовно того, що через Чорне море сюди підтягується ціла низка військових кораблів з представниками морської піхоти Російської Федерації, інші дані про перекидання гвинтокрилів, іншої військової техніки, можливе перекидання, на територію України.
ParlaMint-UA_2014-02-25-m0.u2.p3.sent2	Нам би хотілося володіти цією інформацією.
ParlaMint-UA_2014-02-25-m0.u2.p3.sent3	Тому вважаємо за доцільне вислухати тут в стінах Верховної Ради представника Міністерства оборони.
ParlaMint-UA_2014-02-25-m0.u2.p4.sent1	Друге.
ParlaMint-UA_2014-02-25-m0.u2.p4.sent2	Що стосується виборів.
ParlaMint-UA_2014-02-25-m0.u2.p4.sent3	В першу чергу ми повинні все-таки проголосувати тут Постанову про проведення виборів у місті Києві, а також в тих містах, де вже тривалий час немає міських голів.
ParlaMint-UA_2014-02-25-m0.u2.p4.sent4	Зокрема, це Херсон, Миколаїв, Одеса, Чернівці і Черкаси.
ParlaMint-UA_2014-02-25-m0.u2.p5.sent1	Є зареєстрований проект Постанови (4198) про призначення чергових виборів депутатів Київської міської ради і Київського міського голови на 25 травня 2014 року.
