id	text	language
ParlaMint-UA_2021-12-16-m0.u1.p1.sent1	Доброго ранку, шановні народні депутати та гості Верховної Ради!	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p1.sent2	Прошу народних депутатів підготуватися до електронного голосування.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p1.sent3	Нагадую, що після початку реєстрації необхідно, утримуючи сенсорну кнопку, натиснути на зелену кнопку "За" та утримувати їх до кінця реєстрації.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p2.sent1	Шановні колеги, готові до реєстрації?	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p2.sent2	Прошу народних депутатів реєструватися.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p3.sent1	В залі зареєстрований 231 народний депутат.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p3.sent2	Пленарне засідання Верховної Ради України оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p4.sent1	Шановні колеги.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p4.sent2	Артур Володимирович, а де заява ваша?	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p4.sent3	Секундочку.	RUSSIAN
ParlaMint-UA_2021-12-16-m0.u1.p5.sent1	Шановні колеги, надійшла заява від двох фракцій оголосити перерву у пленарному засіданні, реальну перерву.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p6.sent1	Оголошується перерва на 30 хвилин.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p6.sent2	Фракція "Європейська солідарність" просить зібратися.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u1.p6.sent3	До 10:30.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u2.p1.sent1	Шановні народні депутати, ми використали аж три перерви.	UKRAINIAN
ParlaMint-UA_2021-12-16-m0.u2.p1.sent2	У нас було тривале засідання.	UKRAINIAN
