id	text
ParlaMint-UA_2021-06-15-m0.u1.p1.sent1	Доброго ранку, шановні колеги!
ParlaMint-UA_2021-06-15-m0.u1.p1.sent2	Доброго ранку, шановні представники засобів масової інформації!
ParlaMint-UA_2021-06-15-m0.u1.p1.sent3	Будь ласка, запросіть народних депутатів до зали.
ParlaMint-UA_2021-06-15-m0.u1.p1.sent4	Підготуйтесь до реєстрації.
ParlaMint-UA_2021-06-15-m0.u1.p2.sent1	Готові реєструватись?
ParlaMint-UA_2021-06-15-m0.u1.p2.sent2	Нагадую: реєстрація відбувається шляхом натискання кнопки "за", першої зліва або зеленої.
ParlaMint-UA_2021-06-15-m0.u1.p2.sent3	Готові?
ParlaMint-UA_2021-06-15-m0.u1.p2.sent4	Прошу реєструватись.
ParlaMint-UA_2021-06-15-m0.u1.p3.sent1	В залі зареєстровано 177 народних депутатів України.
ParlaMint-UA_2021-06-15-m0.u1.p3.sent2	Пленарне засідання Верховної Ради України оголошую відкритим.
ParlaMint-UA_2021-06-15-m0.u1.p4.sent1	Шановні колеги, сьогодні день народження у народних депутатів Олени Георгіївни Лис , Віктора Івановича Балоги і Олександра Михайловича Ткаченка .
ParlaMint-UA_2021-06-15-m0.u1.p4.sent2	Бажаю вам здоров’я, наснаги, успіхів, і як завжди, всього найкращого!
ParlaMint-UA_2021-06-15-m0.u1.p5.sent1	Шановні колеги, 9 червня 2021 року Центральна виборча комісія зареєструвала народного депутата України, обраного на проміжних виборах народного депутата України 28 березня 2021 року в одномандатному виборчому окрузі № 87 Вірастюка Василя Ярославовича.
ParlaMint-UA_2021-06-15-m0.u1.p5.sent2	Відповідно до статті 79 Конституції України перед вступом на посаду народний депутат України складає присягу перед Верховною Радою України.
ParlaMint-UA_2021-06-15-m0.u1.p6.sent1	Для складення присяги на трибуну запрошується народний депутат України Вірастюк Василь Ярославович, будь ласка.
ParlaMint-UA_2021-06-15-m0.u2.p1.sent1	Присягаю народу України.
ParlaMint-UA_2021-06-15-m0.u2.p1.sent2	Зобов’язуюсь усіма своїми діями боронити суверенітет України та незалежність України, дбати про благо Вітчизни та добробут Українського народу.
ParlaMint-UA_2021-06-15-m0.u2.p1.sent3	Присягаю дотримуватися Конституції України та законів України, виконувати свої обов’язки в інтересах усіх співвітчизників.
ParlaMint-UA_2021-06-15-m0.u2.p2.sent1	Слава Україні!
ParlaMint-UA_2021-06-15-m0.u3.p1.sent1	Вітаю вас!
ParlaMint-UA_2021-06-15-m0.u3.p1.sent2	Бажаю успіхів!
ParlaMint-UA_2021-06-15-m0.u3.p1.sent3	Будь ласка, сідайте.
ParlaMint-UA_2021-06-15-m0.u3.p2.sent1	Надійшла заява про перерву із заміною на виступ.
ParlaMint-UA_2021-06-15-m0.u3.p2.sent2	Палиця?
ParlaMint-UA_2021-06-15-m0.u3.p2.sent3	Палиця Ігор Петрович.
ParlaMint-UA_2021-06-15-m0.u4.p1.sent1	Я хочу звернутися до колеги депутатів (доброго дня, колеги), до народу України, до правоохоронних органів і нагадати всім одну річ, що в Конституції України записано: народ України має право обирати.
