id	text	language
ParlaMint-UA_2019-10-15-m0.u1.p1.sent1	Шановні колеги, будь ласка, займайте свої місця.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p2.sent1	Шановні колеги, будь ласка, займайте свої місця.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p2.sent2	Підготуйтесь до реєстрації.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p3.sent1	Шановні колеги, прошу підготуватися до реєстрації.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p3.sent2	Прошу реєструватися.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p4.sent1	В залі зареєстровано 365 народних депутатів України.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p4.sent2	Ранкове засідання Верховної Ради України оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p5.sent1	Шановні колеги, я хотів би зробити декілька оголошень, і після цього я дам слово нашим ще колегам.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p6.sent1	Перше і, мабуть, найважливіше – це те, що вчора ми з вами святкували День захисника України.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p6.sent2	Це важливе свято, але, на жаль, воно дуже часто є з присмаком гіркоти.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p6.sent3	Тому я думаю, що і Верховна Рада України, і багато інших установ, просто громадян нашої держави повинні робити все для того, щоб нарешті запанував мир, для того, щоб ми повернули свої території, для того, щоб територіальна цілісність і незалежність більше ніколи не були під питанням та під зовнішньою агресією.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p7.sent1	Друге не менш важливе питання – це питання, я хотів би всіх привітати з тим, що вчора українська збірна довела, що ми вміємо і можемо грати у футбол.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p7.sent2	І не лише вміємо, і можемо грати, але й перемагати.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p7.sent3	Я думаю, що треба брати з них приклад і в інших сферах, так само досягти успіхів.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p8.sent1	Ще важливіше питання – це питання, пов’язане з тим, що я вам сьогодні роздавав, ось такі долоньки.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p8.sent2	У мене була змога поспілкуватися на минулому тижні з дітьми, це була одна з київських шкіл, це була гімназія.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p8.sent3	Ви знаєте, парадоксально, але діти задавали іноді такі питання, які не задають дорослі, настільки виважені, настільки збалансовані, розумні і глибокі, що диву даєшся.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p8.sent4	І я хочу побажати і собі, і вам, щоб ми з вами не забували, для кого ми працюємо в цій залі, для.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p8.sent5	І сьогодні у нас теж є дітки в гостях, я думаю, що треба вас привітати.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p8.sent6	Дякую, приходьте до нас.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p9.sent1	А також сьогодні у нас є іменинник, це Петро Іванович Павловський.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p9.sent2	Я вітаю колегу, бажаю здоров’я, наснаги.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p9.sent3	І пропоную, щоб всі долучились до цих привітань.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p10.sent1	Розпочинаємо нашу роботу.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p10.sent2	Колеги просили слово, я надаю, 2 хвилини.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u1.p10.sent3	Добре?	RUSSIAN
ParlaMint-UA_2019-10-15-m0.u2.p1.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p1.sent2	Дві хвилини вашої увагу.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p1.sent3	Всі знають, що вчора в нашій країні ми відмічали цілий ряд різноманітних свят, в першу чергу це Покрова Божої Матері і День захисника Вітчизни.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p1.sent4	Крім того, вчора був День українського козацтва і День вшанування вояків УПА.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p1.sent5	Я вже не говорю про цілу плеяду особистих свят, які теж були вчора.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p2.sent1	Хочу, користуючись нагодою, з цієї високої трибуни, по-перше, запросити до нас сюди на трибуну всіх представників силових відомств, ветеранів воєн і конфліктів і давніх, і з нашої новітньої історії, до нас сюди для того, щоб підтримати.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p3.sent1	До речі, ви бачите, представництво досить-таки символічне і достатньо різноманітне.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p3.sent2	Тут без поділу на політичні фракції, без поділу на певні політичні вподобання і таке інше.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p3.sent3	Тут представники маже всіх відомств, різних військових звань і різних категорій: генерали, офіцери, солдати, волонтери, представники правоохоронних органів і Служби безпеки.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p3.sent4	І це теж дуже, на мій погляд, знаково.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p4.sent1	Ми всі добре знаємо, що той конфлікт, який нам нав’язаний і що триває шостий рік, ми часто називаємо гібридним.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p4.sent2	Це суто академічне визначення, але воно, на мій погляд, дуже вірно по суті.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p4.sent3	Чим ми можемо відповісти на гібридну загрозу?	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p4.sent4	Тільки тотальним гібридним опором.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p4.sent5	І тому в цей день зазвичай прийнято згадувати військовослужбовців Збройних Сил, Національної гвардії, добровольців, одним словом, тих, хто захищає нашу державу зі зброєю в руках.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u2.p4.sent6	Але ми всі добре знаємо, що Україна потребує захисту.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u3.p1.sent1	Дайте завершити.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u4.p1.sent1	не тільки на фронті.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u4.p1.sent2	Потрібно захищати інформаційну сферу, потрібно захищати нашу економіку, потрібно підтримувати правопорядок в країні, потрібно створювати належні умови для того, щоб, як говорив генерал Маннергейм свого часу, щоб у людей було бажання захищати той рівень життя, який відповідає їхнім очікуванням.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u4.p1.sent3	А якщо ми додамо до переліку цих силових структур, їх представників всіх тих, хто чекає вдома, слідкує за новинами, не спить ночами, то можна без перебільшення сказати, що до цього свята прямо або опосередковано причетна майже половина населення нашої країни.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u4.p2.sent1	На жаль, ця робота страшна, брудна і час від часу кровава.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u4.p2.sent2	На жаль, вона.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u5.p1.sent1	Дайте завершити.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u6.p1.sent1	Тому дозвольте запропонувати нам як народним депутатам і представникам наших виборців почати наше сьогодні ранкове засідання з того, що хвилиною мовчання ми згадаємо всіх тих, хто вже ніколи не повернеться з бойових виходів, хто загинув і віддав своє життя під час виконання військових обов’язків і, на жаль, ніколи вже не віддасть навіть свій голос за одного з нас або за наших наступників.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u6.p1.sent2	Будь ласка.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u7.p1.sent1	Дякую.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u7.p2.sent1	На закінчення дозвольте від свого імені, від імені всіх нас побажати всім захисникам, щоб вони виконували свій військовий обов’язок достойно, вміло, з гідністю і честю.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u7.p3.sent1	Дякую.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u8.p1.sent1	Дякую, колеги.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u8.p2.sent1	Шановні колеги, переходимо до розгляду питань порядку денного.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u8.p2.sent2	До складення.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u8.p3.sent1	Шановні народні депутати, 5 жовтня 2019 року Центральна виборча комісія зареєструвала народного депутата України, обраного на позачергових виборах народних депутатів України 21 липня 2019 року в загальнодержавному багатомандатному виборчому окрузі Копиленка Олександра Любимовича, включеного до виборчого списку політичної партії "Слуга народу".	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u8.p3.sent2	Відповідно до статті 79 Конституції України перед вступом на посаду народні депутати України складають присягу перед Верховною Радою.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u8.p4.sent1	Для складення присяги на трибуну запрошується народний депутат України Копиленко Олександр Любимович.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u9.p1.sent1	Присягаю на вірність Україні.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u9.p1.sent2	Зобов’язуюсь усіма своїми діями боронити суверенітет і незалежність України, дбати про благо Вітчизни і добробут Українського народу.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u9.p1.sent3	Присягаю додержуватися Конституції України та законів України, виконувати свої обов’язки в інтересах усіх співвітчизників.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u9.p2.sent1	Спасибі.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u10.p1.sent1	Дякую.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u10.p2.sent1	Олександр Любимович, я вас вітаю.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u10.p2.sent2	Прошу зайняти місце в залі.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u10.p3.sent1	Шановні колеги, у п’ятницю, 4 жовтня, Верховна Рада України призначила членом Центральної виборчої комісії Буглака Юрія Олександровича.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u10.p3.sent2	Згідно зі статтею 217 Закону України "Про Регламент Верховної Ради України" та статтею 8 Закону України "Про Центральну виборчу комісію" члени Центральної виборчої комісії перед вступом на посаду складають присягу перед Верховною Радою України.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u10.p4.sent1	До складення присяги запрошується Буглак Юрій Олександрович.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u11.p1.sent1	Шановний головуючий, шановні члени президії, шановні народні депутати!	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u11.p1.sent2	Я, Буглак Юрій Олександрович, присягаю Українському народу при здійсненні своїх повноважень в Центральній виборчій комісії додержуватися Конституції України та законів України, позапартійної позиції, бути чесним, об’єктивним та неупередженим у вирішенні питань, що належать до повноважень комісії, забезпечувати реалізацію і захист виборчих прав громадян України та права на участь у референдумі.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u12.p1.sent1	Шановні народні депутати, відповідно до статті 25 Регламенту у вівторок ми маємо 30 хвилин для виступу уповноважених представників депутатських фракцій і груп з внесенням пропозицій, оголошень, заяв і повідомлень.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u12.p1.sent2	Прошу представників фракцій записатися на виступ.	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u12.p2.sent1	До слова запрошується Бондар Віктор Васильович, депутатська група "За майбутнє".	UKRAINIAN
ParlaMint-UA_2019-10-15-m0.u13.p1.sent1	Шановний Дмитро Олександрович, шановні колеги, депутатська група "За майбутнє" хоче звернутися сьогодні до наших депутатів, до уряду з єдиним питанням.	UKRAINIAN
