id	text
ParlaMint-UA_2013-09-03-m0.u1.p1.sent1	Доброго ранку, шановні народні депутати, запрошені та гості Верховної Ради!
ParlaMint-UA_2013-09-03-m0.u1.p1.sent2	Я прошу народних депутатів підготуватися до реєстрації.
ParlaMint-UA_2013-09-03-m0.u1.p1.sent3	Увімкніть систему "Рада".
ParlaMint-UA_2013-09-03-m0.u1.p2.sent1	В залі зареєструвалося 385 народних депутатів.
ParlaMint-UA_2013-09-03-m0.u1.p3.sent1	Шановні народні депутати та гострі Верховної Ради України, в церемонії відкриття третьої сесії Верховної Ради України сьомого скликання бере участь Президент України Віктор Федорович Янукович.
ParlaMint-UA_2013-09-03-m0.u1.p4.sent1	Шановні народні депутати, на церемонії відкриття третьої сесії Верховної Ради України сьомого скликання присутні: Прем’єр-міністр України Микола Янович Азаров та члени уряду.
ParlaMint-UA_2013-09-03-m0.u1.p4.sent2	Присутні керівники судової гілки влади , присутні посадові особи, яких Верховна Рада обирає, призначає або надає згоду на призначення їх на посаду: Голова Верховної Ради Автономної Республіки Крим та голови обласних рад, керівники.
ParlaMint-UA_2013-09-03-m0.u1.p4.sent3	На сесії присутні керівники Моніторингової місії Європейського парламенту, колишній Президент Республіки Польща Олександр Кваснєвський та колишній президент Європейського парламенту Пет Кокс.
ParlaMint-UA_2013-09-03-m0.u1.p4.sent4	Присутні глави дипломатичних представництв іноземних держав та інші офіційні особи.
ParlaMint-UA_2013-09-03-m0.u1.p5.sent1	Шановні народні депутати, відповідно до статті 83 Конституції України третю сесію Верховної Ради України сьомого скликання оголошую відкритою.
ParlaMint-UA_2013-09-03-m0.u1.p6.sent1	Шановні народні депутати, до вітального слова запрошується Президент України Віктор Федорович Янукович.
ParlaMint-UA_2013-09-03-m0.u2.p1.sent1	Шановний Голово Верховної Ради України, шановні народні депутати, дорогі співвітчизники!
ParlaMint-UA_2013-09-03-m0.u2.p1.sent2	Сьогодні ми відкриваємо третю сесію Верховної Ради сьомого скликання.
ParlaMint-UA_2013-09-03-m0.u2.p1.sent3	Розпочинається новий політичний сезон.
ParlaMint-UA_2013-09-03-m0.u2.p1.sent4	І я маю надію, що друге півріччя 2013 року стане часом політичного порозуміння, взаємодії плідних та своєчасних рішень.
ParlaMint-UA_2013-09-03-m0.u2.p2.sent1	На жаль, попередня сесія Верховної Ради була радше часом втрачених можливостей.
ParlaMint-UA_2013-09-03-m0.u2.p2.sent2	Як наслідок, ми втрачаємо темп реформ, які ми взяли ще у 2010-2012 роках.
ParlaMint-UA_2013-09-03-m0.u2.p2.sent3	Але я впевнений, український парламент зможе об’єднати зусилля навколо проблем, без вирішення яких, без перебільшення, залежить доля України.
ParlaMint-UA_2013-09-03-m0.u2.p3.sent1	Пропоную, щоб всі парламентські сили знайшли порозуміння щодо вирішення двох ключових стратегічних завдань: найперше і найбільше актуальне питання для цієї сесії – це прийняття пакету законів, необхідних для подальшого просування на європейському напрямі.
ParlaMint-UA_2013-09-03-m0.u2.p3.sent2	Це домашнє завдання, яке має виконати український парламент напередодні Вільнюського саміту, аби Україна змогла підписати угоду про асоціацію з Європейським Союзом і розширену угоду про зону вільної торгівлі з ЄС.
ParlaMint-UA_2013-09-03-m0.u2.p4.sent1	Відразу наголошую, що спроби протиставити співпраці на європейському векторі та співробітництво з нашими стратегічними партнерами – Російською Федерацією та країнами євро-азійського співтовариства безпідставні.
ParlaMint-UA_2013-09-03-m0.u2.p5.sent1	З точки зору стратегічної перспективи підписання Угоди про асоціацію та зону вільної торгівлі відкриє нові можливості для взаємовигідного співробітництва та подальшого зближення з нашими стратегічними партнерами в євро-азійському регіоні.
ParlaMint-UA_2013-09-03-m0.u2.p6.sent1	Успіх на Вільнюському саміті слід готувати.
ParlaMint-UA_2013-09-03-m0.u2.p6.sent2	І значну роль в цьому процесі має зіграти Верховна Рада.
ParlaMint-UA_2013-09-03-m0.u2.p6.sent3	Асоціація з Європейським Союзом потрібна не владі чи опозиції, Асоціація потрібна Україні.
ParlaMint-UA_2013-09-03-m0.u2.p6.sent4	Це, в першу чергу, стимул для подальшого реформування прискореної модернізації підвищення соціальних стандартів.
ParlaMint-UA_2013-09-03-m0.u2.p7.sent1	Ми маємо значно прискорити реалізацію програми реформ, зокрема завершити реформування судової системи, органів прокуратури та внутрішніх справ.
ParlaMint-UA_2013-09-03-m0.u2.p7.sent2	Пропоную Верховній Раді якнайшвидше підтримати відповідний пакет законопроектів.
ParlaMint-UA_2013-09-03-m0.u2.p8.sent1	Ми повинні разом вжити всіх необхідних заходів для ефективного впровадження нового Кримінально-процесуального кодексу, законодавство про адвокатуру та національного превентивного механізму проти тортур.
ParlaMint-UA_2013-09-03-m0.u2.p9.sent1	Парламент має забезпечити прийняття законів, передбачених планом дій щодо лібералізації Європейським Союзом візового режиму для України.
ParlaMint-UA_2013-09-03-m0.u2.p9.sent2	Необхідно суттєво посилити прозорість державних фінансів, у тому числі через розширення функцій Рахункової палати.
ParlaMint-UA_2013-09-03-m0.u2.p10.sent1	Ми маємо і надалі вдосконалювати національне законодавство щодо боротьби з корупцією, використовуючи найбільш ефективні світові підходи, висловлені, зокрема, в Рекомендаціях GRECO.
ParlaMint-UA_2013-09-03-m0.u2.p10.sent2	Завдання, що стоять перед Україною напередодні Вільнюського саміту складні і масштабні, але у нас є і час, і сили аби їх вирішити.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent1	Шановні колеги!
ParlaMint-UA_2013-09-03-m0.u2.p11.sent2	Друге важливе стратегічне завдання, яке потребує спільної роботи влади і опозиції, – це реалізація модернізаційної стратегії прискорення економічних та соціальних реформ.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent3	Так, у нас є певні економічні здобутки, перед усім ми суттєво знизили рівень інфляції.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent4	З спочатку року ціни зросли лише на 0,1 відсотка, а за минулий рік впали на 0,2.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent5	Протягом останніх трьох років зарплати зросли в середньому майже на 60 відсотків, а пенсії – більше ніж на сорок.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent6	Ми збільшили довіру до національної валюти та української банківської системи.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent7	З початку цього року гривневі депозити населення зросли на четверть, протягом останніх років, ми маємо рекордні врожаї.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent8	В той же час в українській економіці є багато проблем, над якими ми маємо спільно працювати.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent9	Основні джерела проблем – перш за все, продовження світової економічної кризи.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent10	Відповідний стан товарних ринків та надвисока ціна на імпортний газ, що ми маєво внаслідок контракту, укладеного в 2009 році.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent11	Перша проблема – це падіння промислового виробництва і відповідне зниження темпів зростання внутрішнього валового продукту.
ParlaMint-UA_2013-09-03-m0.u2.p11.sent12	Кабінет Міністрів України підготував програму активізації економіки, реалізація якої потребує спільної роботи з Верховною Радою і я сподіваюсь на відповідну підтримку парламенту.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent1	Друга проблема, яка вимагає спільного вирішення, це незавершеність реформ у соціальній політиці.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent2	Попри складну ситуацію в економіці за останні два роки нам вдалося збільшити середню зарплату в Україні майже на четверть.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent3	Ми розгортаємо фундаментальні реформи в соціальних і гуманітарних галузях.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent4	Закликаю парламент брати більш активну участь у розробці соціальних реформ, адже, їх послідовність та успішність – це шлях до європейських соціальних стандартів, до нової якості життя громадян України.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent5	Очікую від Верховної Ради прийняття не пізніше грудня 2013 року Закону про заклади охорони здоров’я, які підвищать якість і доступність медичної допомоги.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent6	Також окремо прошу вас внести зміни до цьогорічного державного бюджету і передбачити в ньому кошти на виплату надбавок лікарям екстреної медичної допомоги.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent7	Право на відповідні надбавки лікарів вже законодавчо передбачено з 1 жовтня 2013 року.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent8	Цього року ми проголосили нові соціальні ініціативи: "Діти – майбутнє України", спрямовані на всебічну підтримку та розвиток дітей.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent9	В рамках цих ініціатив вже реконструюються і відкриваються нові дошкільні заклади.
ParlaMint-UA_2013-09-03-m0.u2.p12.sent10	З початку року в них створено понад 20 тисяч додаткових місць.
