id	text	language
ParlaMint-UA_2010-09-21-m1.u1.p1.sent1	Прошу, шановні колеги, підготуватися до реєстрації.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p1.sent2	І водночас запросіть депутатів до сесійної зали, оскільки зараз потрібно буде ж голосувати.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p1.sent3	Увімкніть систему „Рада”.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p2.sent1	Зареєструвалося картками, наголошую, картками у сесійній залі 414 народних депутатів.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p3.sent1	Шановні колеги, продовжуємо розгляд питань, визначених розкладом на вівторок 21 вересня.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p3.sent2	Було прохання до комітетів розглянути питання, які ми на ранковому засіданні включили до порядку денного.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p3.sent3	Оскільки вони.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p3.sent4	Зараз тут комітет надасть матеріали щодо законопроекту про недопущення обігу в Україні небезпечної продукції, і ми його розглянемо.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p4.sent1	А що стосується законопроекту, Закону про в несення змін до Закону України „Про Державний бюджет України на 2010 рік” , це реєстраційний номер 7142, я прошу комітет розглянути, у четвер ми повинні обов’язково визначити щодо рішення.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p4.sent2	Рівно ж як і ще один законопроект, який стосується „Нафтогазу України”.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p5.sent1	Шановні колеги, оголошується до розгляду проект Закону про внесення змін до деяких законодавчих актів України щодо обмеження державного регулювання господарської діяльності .	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p5.sent2	Є прохання розглядати це питання за скороченою процедурою.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p6.sent1	Прошу, я ставлю на голосування.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p6.sent2	Прошу підтримати цю пропозицію.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p7.sent1	За-183	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p8.sent1	Рішення прийнято.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p9.sent1	Доповідач – представник Президента України у Верховній Раді України Юрій Мірошниченко, голова Комітету з питань промислової і регуляторної політики та підприємництва – Наталя Королевська.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u1.p9.sent2	Будь ласка, Юрій Романович.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u2.p1.sent1	Шановні виборці, шановні колеги!	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u2.p1.sent2	Юрій Мірошниченко, фракція Партії регіонів, представник Президента України у Верховній Раді України.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u2.p2.sent1	Президент України вносить на розгляд народних депутатів України проект Закону України про внесення змін до деяких законодавчих актів України щодо обмеження державного регулювання господарської діяльності.	UKRAINIAN
ParlaMint-UA_2010-09-21-m1.u2.p3.sent1	Метою законопроекту є максимальне сприяння держави у започаткуванні та впровадженні підприємницької діяльності.	UKRAINIAN
